Date,Open Price,High Price,Low Price,Last Price,VWAP (Vol Weighted Average Price),Volume
3/23/17,2.1527,2.15527,2.15012,2.15012,2.154,83700
3/24/17,2.15538,2.15538,2.14508,2.15281,2.1525,39700
3/27/17,2.15259,2.15516,2.12169,2.12941,2.1272,245200
3/28/17,2.14481,2.15511,2.14223,2.15253,2.1465,14000
3/29/17,2.16241,2.16241,2.15469,2.15726,2.1585,20300
3/30/17,2.16197,2.16711,2.15939,2.16711,2.1655,37900
3/31/17,2.17461,2.18748,2.15917,2.17204,2.1675,224500
4/3/17,2.16963,2.17221,2.15676,2.16706,2.1654,82500
4/4/17,2.16963,2.17221,2.15676,2.16706,2.1654,82500
4/5/17,2.16745,2.16745,2.14943,2.152,2.1607,108600
4/6/17,2.14946,2.14946,2.14174,2.14688,2.1447,20500
4/7/17,2.13935,2.14965,2.13935,2.14965,2.147,12001
4/10/17,2.16222,2.16222,2.15192,2.15707,2.1579,8989
4/11/17,2.15668,2.15668,2.14124,2.15668,2.1516,20000
4/12/17,2.15923,2.1618,2.15151,2.15151,2.1528,23400
4/13/17,2.15081,2.15081,2.13538,2.13795,2.1453,41712
4/14/17,2.15081,2.15081,2.13538,2.13795,2.1453,41712
4/17/17,2.15081,2.15081,2.13538,2.13795,2.1453,41712
4/18/17,2.14548,2.14805,2.1429,2.1429,2.1455,16700
4/19/17,2.14039,2.14296,2.13781,2.14296,2.1391,25960
4/20/17,2.14274,2.14274,2.13502,2.14017,2.1397,8800
4/21/17,2.14534,2.15563,2.12733,2.15305,2.1548,26182
4/24/17,2.15941,2.16969,2.15684,2.16712,2.1652,59309
4/25/17,2.16729,2.17243,2.16729,2.16986,2.1703,109600
4/26/17,2.1771,2.18738,2.1771,2.18481,2.1853,107800
4/27/17,2.18503,2.19789,2.17989,2.18503,2.1848,58401
4/28/17,2.19585,2.19585,2.18043,2.18043,2.1836,33808
5/1/17,2.19585,2.19585,2.18043,2.18043,2.1836,33808
5/2/17,2.18481,2.18738,2.17967,2.18481,2.1864,13060
5/3/17,2.18481,2.18738,2.17967,2.18481,2.1864,13060
5/4/17,2.18464,2.18464,2.1795,2.18464,2.1825,32400
5/5/17,2.18391,2.18391,2.17363,2.18391,2.1788,71767
5/8/17,2.18894,2.19664,2.18894,2.19408,2.1953,79353
5/9/17,2.19424,2.19424,2.17883,2.19168,2.1849,143203
5/10/17,2.18837,2.19094,2.18324,2.18837,2.1865,24800
5/11/17,2.19512,2.19769,2.18742,2.19512,2.1944,46734
5/12/17,2.19397,2.19397,2.18114,2.18114,2.1897,20200
5/15/17,2.19298,2.19298,2.18527,2.18527,2.1903,45668
5/16/17,2.19312,2.19825,2.19312,2.19825,2.1955,15300
5/17/17,2.20367,2.20367,2.18056,2.18313,2.1846,59500
5/18/17,2.14603,2.18458,2.14603,2.15888,2.1651,150237
5/19/17,2.16383,2.16897,2.15869,2.16897,2.166,64219
5/22/17,2.18371,2.20427,2.17858,2.18371,2.1857,153900
5/23/17,2.18533,2.20074,2.18276,2.19047,2.1872,5300
5/24/17,2.19529,2.24664,2.19529,2.19786,2.2286,79738
5/25/17,2.19975,2.21002,2.19975,2.20745,2.2078,30600
5/26/17,2.21224,2.21224,2.20968,2.21224,2.2122,237500
5/29/17,2.21438,2.21438,2.20925,2.21438,2.213,40800
5/30/17,2.21438,2.21438,2.20925,2.21438,2.213,40800
5/31/17,2.21489,2.21489,2.20463,2.20719,2.2091,56699
6/1/17,2.2101,2.2255,2.20497,2.20497,2.2106,45000
6/2/17,2.21792,2.23332,2.21792,2.22818,2.2284,28100
6/5/17,2.23038,2.23294,2.22781,2.23038,2.2315,99784
6/6/17,2.29145,2.29145,2.22217,2.22217,2.2299,63165
6/7/17,2.22456,2.22969,2.22456,2.22713,2.2281,15910
6/8/17,2.22895,2.22895,2.22382,2.22638,2.2281,90502
6/9/17,2.22889,2.22889,2.2212,2.2212,2.2246,194615
6/12/17,2.21547,2.22316,2.21034,2.2206,2.219,40245
6/13/17,2.22365,2.22621,2.22365,2.22621,2.2262,52400
6/14/17,2.22627,2.22883,2.22627,2.22883,2.2265,6600
6/15/17,2.25589,2.25589,2.21744,2.22256,2.2321,57800
6/16/17,2.22282,2.22795,2.22282,2.22795,2.2267,19100
6/19/17,2.22806,2.23063,2.19217,2.2255,2.2049,223600
6/20/17,2.25635,2.25635,2.22815,2.2384,2.2319,147500
6/21/17,2.23573,2.24342,2.22291,2.22803,2.2405,90700
6/22/17,2.22832,2.23088,2.22063,2.22576,2.2275,51500
6/23/17,2.2257,2.23339,2.2257,2.23083,2.2308,78348
6/26/17,2.23359,2.23872,2.23103,2.23616,2.2338,39750
6/27/17,2.2359,2.2359,2.21795,2.23333,2.2246,179000
6/28/17,2.22963,2.22963,2.20912,2.21937,2.218,50400
6/29/17,2.23467,2.24492,2.21929,2.24235,2.2386,37100
6/30/17,2.23401,2.23401,2.21351,2.2212,2.2188,80200
7/3/17,2.2148,2.23528,2.2148,2.22504,2.2236,40100
7/4/17,2.22345,2.23625,2.21832,2.22345,2.2209,25057
7/5/17,2.22319,2.22831,2.21807,2.21807,2.2223,21620
7/6/17,2.21716,2.22228,2.2146,2.2146,2.2166,28500
7/7/17,2.21224,2.21224,2.19943,2.20456,2.2044,19439
7/10/17,2.21429,2.22197,2.21429,2.21941,2.2197,72763
7/11/17,2.21946,2.22202,2.2169,2.2169,2.2208,16951
7/12/17,2.21733,2.21733,2.21477,2.21733,2.2171,3274
7/13/17,2.2204,2.23577,2.2204,2.23321,2.2292,46900
7/14/17,2.23375,2.24143,2.23119,2.23631,2.2355,20100
7/17/17,2.24253,2.24765,2.24253,2.24509,2.2451,42702
7/18/17,2.2421,2.24466,2.2421,2.2421,2.2423,22812
7/19/17,2.24371,2.25139,2.24371,2.25139,2.2506,19706
7/20/17,2.25372,2.26653,2.25372,2.26397,2.2618,51928
7/21/17,2.26394,2.26394,2.25882,2.26138,2.2615,21744
7/24/17,2.26463,2.26976,2.25183,2.25183,2.2585,78111
7/25/17,2.25148,2.25916,2.25148,2.2566,2.257,25012
7/26/17,2.25809,2.26321,2.25809,2.26065,2.2626,20237
7/27/17,2.26647,2.26903,2.26135,2.26903,2.2666,35000
7/28/17,2.28431,2.28431,2.25358,2.25614,2.2637,30652
7/31/17,2.25591,2.26359,2.25591,2.26359,2.2599,47077
8/1/17,2.26301,2.26813,2.26045,2.26045,2.2634,87714
8/2/17,2.26177,2.26432,2.25921,2.25921,2.2626,76200
8/3/17,2.26153,2.26409,2.25898,2.25898,2.2627,47400
8/4/17,2.2611,2.26366,2.2611,2.26366,2.2612,6513
8/7/17,2.26265,2.26776,2.26265,2.26776,2.2673,71999
8/8/17,2.27003,2.27514,2.26236,2.26747,2.2647,40759
8/9/17,2.2643,2.27709,2.25406,2.25662,2.2658,131087
8/10/17,2.25906,2.26162,2.2565,2.2565,2.2576,16139
8/11/17,2.22782,2.24828,2.22526,2.22782,2.2275,107200
8/14/17,2.21958,2.24515,2.21958,2.24515,2.2413,85225
8/15/17,2.24696,2.26486,2.24696,2.25463,2.2593,107899
8/16/17,2.26026,2.25771,2.25259,2.25515,2.254,12734
8/17/17,2.25498,2.25753,2.25242,2.25753,2.2542,19800
8/18/17,2.23691,2.2548,2.22157,2.22413,2.2244,83616
8/21/17,2.22128,2.22384,2.21106,2.21617,2.2175,54100
8/22/17,2.21811,2.23344,2.21811,2.22833,2.2255,79107
8/23/17,2.21811,2.23344,2.21811,2.22833,2.2255,79107
8/24/17,2.22654,2.23676,2.22398,2.23676,2.2331,84104
8/25/17,2.23745,2.23745,2.22978,2.23489,2.2331,48600
8/28/17,2.23438,2.23438,2.22671,2.22927,2.2331,220900
8/29/17,2.22376,2.22376,2.21864,2.21864,2.2214,46808
8/30/17,2.21825,2.24636,2.21825,2.24636,2.2335,170100
8/31/17,2.24639,2.2515,2.24383,2.24894,2.2471,29400
9/1/17,2.2546,2.26483,2.2546,2.26483,2.2596,81400
9/4/17,2.26445,2.26445,2.24912,2.25167,2.2538,66219
9/5/17,2.25411,2.27456,2.25411,2.25667,2.2617,36700
9/6/17,2.25661,2.26428,2.2515,2.2515,2.2519,52500
9/7/17,2.25996,2.25996,2.25484,2.25484,2.2586,5557
9/8/17,2.25634,2.25634,2.25122,2.25378,2.2521,34400
9/11/17,2.25792,2.2656,2.25792,2.26048,2.2647,12200
9/12/17,2.26601,2.28137,2.26601,2.27881,2.2776,34218
9/13/17,2.28099,2.28611,2.28099,2.28099,2.2826,14313
9/14/17,2.28102,2.28614,2.28102,2.28614,2.2852,20200
9/15/17,2.28415,2.28415,2.27392,2.28159,2.2811,40400
9/18/17,2.30282,2.30282,2.29003,2.29003,2.2904,74900
9/19/17,2.29367,2.29623,2.28854,2.28854,2.2897,35000
9/20/17,2.29062,2.29832,2.29062,2.29319,2.2918,47340
9/21/17,2.2909,2.30627,2.28834,2.28834,2.2964,119100
9/22/17,2.28708,2.28708,2.27939,2.28708,2.2852,37800
9/25/17,2.28558,2.3035,2.28558,2.28814,2.289,71500
9/26/17,2.28855,2.28855,2.28599,2.28855,2.2869,20600
9/27/17,2.28926,2.28926,2.28413,2.28669,2.2883,20300
9/28/17,2.28655,2.30959,2.28655,2.29423,2.2946,19777
9/29/17,2.29397,2.29909,2.29397,2.29909,2.2968,46301
10/2/17,2.29397,2.29909,2.29397,2.29909,2.2968,46301
10/3/17,2.29944,2.3148,2.29944,2.31224,2.3123,94580
10/4/17,2.31819,2.31819,2.31051,2.31563,2.3147,86763
10/5/17,2.31819,2.31819,2.31051,2.31563,2.3147,86763
10/6/17,2.32382,2.33407,2.32382,2.33151,2.3306,65731
10/9/17,2.33178,2.33178,2.32665,2.32922,2.3307,33520
10/10/17,2.32951,2.32951,2.32439,2.32951,2.3273,20641
10/11/17,2.33404,2.33404,2.32636,2.32892,2.3304,48121
10/12/17,2.3282,2.33332,2.32564,2.33332,2.3297,84102
10/13/17,2.33356,2.33356,2.32844,2.32844,2.3299,18700
10/16/17,2.32874,2.33899,2.32874,2.33642,2.3375,69633
10/17/17,2.33866,2.34122,2.3361,2.33866,2.3391,20014
10/18/17,2.34125,2.34125,2.33869,2.34125,2.341,65329
10/19/17,2.34558,2.34558,2.33277,2.33277,2.341,66063
10/20/17,2.3429,2.35315,2.33777,2.35059,2.348,50800
10/23/17,2.35556,2.36069,2.35044,2.353,2.3582,28023
10/24/17,2.34504,2.35017,2.34504,2.3476,2.3484,41900
10/25/17,2.34763,2.34763,2.34251,2.34763,2.3455,42846
10/26/17,2.34576,2.34576,2.33807,2.34064,2.3411,49400
10/27/17,2.34245,2.35014,2.34245,2.35014,2.3459,23600
10/30/17,2.35134,2.35903,2.35134,2.35391,2.3563,17736
10/31/17,2.35336,2.35336,2.3508,2.35336,2.3527,52088
11/1/17,2.35876,2.36389,2.35876,2.36389,2.3622,40501
11/2/17,2.36341,2.36341,2.35059,2.35315,2.3555,76198
11/3/17,2.35306,2.36075,2.35306,2.36075,2.3571,22608
11/6/17,2.36338,2.3685,2.35569,2.36338,2.3608,31893
11/7/17,2.36533,2.37558,2.36277,2.37046,2.3736,65805
11/8/17,2.38572,2.38572,2.36519,2.36776,2.3715,32878
11/9/17,2.37195,2.37451,2.36682,2.37195,2.372,48184
11/10/17,2.36832,2.36832,2.36063,2.36576,2.3663,19035
11/13/17,2.36609,2.36609,2.3584,2.36609,2.364,21390
11/14/17,2.36588,2.36588,2.35819,2.35819,2.3633,111632
11/15/17,2.3643,2.36943,2.34637,2.36943,2.3533,61200
11/16/17,2.36379,2.36891,2.34586,2.36891,2.3582,46785
11/17/17,2.36827,2.36827,2.35547,2.36571,2.3657,39557
11/20/17,2.3605,2.3605,2.35026,2.35538,2.354,49207
11/21/17,2.35785,2.36809,2.35785,2.36553,2.3625,16368
11/22/17,2.36562,2.38098,2.36562,2.37586,2.3757,97716
11/23/17,2.37614,2.3787,2.37102,2.37358,2.3753,5712
11/24/17,2.3819,2.3819,2.37421,2.3819,2.3786,29243
11/27/17,2.37915,2.38428,2.37402,2.37659,2.3797,35035
11/28/17,2.37607,2.3812,2.37607,2.3812,2.3786,6633
11/29/17,2.3844,2.40233,2.38184,2.40233,2.3978,42875
11/30/17,2.40955,2.40955,2.39674,2.3993,2.4004,147505
12/1/17,2.40344,2.4188,2.40344,2.4188,2.4148,67222
12/4/17,2.43035,2.44314,2.43035,2.43035,2.433,141200
12/5/17,2.44149,2.44149,2.4159,2.41846,2.4213,85729
12/6/17,2.41923,2.41923,2.40387,2.40387,2.4074,74700
12/7/17,2.40708,2.41476,2.40708,2.4122,2.4129,29901
12/8/17,2.41887,2.42143,2.41631,2.42143,2.419,35520
12/11/17,2.42368,2.44674,2.42368,2.43393,2.4366,67059
12/12/17,2.44374,2.44374,2.43862,2.43862,2.4412,44096
12/13/17,2.43943,2.43943,2.43431,2.43687,2.4372,23873
12/14/17,2.43587,2.44868,2.43587,2.44612,2.4459,37149
12/15/17,2.4414,2.4414,2.42604,2.43116,2.4317,41328
12/18/17,2.43353,2.4668,2.43097,2.46168,2.4581,91361
12/19/17,2.46898,2.48433,2.46898,2.47154,2.4727,182500
12/20/17,2.46986,2.48009,2.45963,2.46219,2.4682,38971
12/21/17,2.45802,2.47081,2.45546,2.46058,2.4611,91132
12/22/17,2.46386,2.47154,2.4613,2.46642,2.4662,59365
12/25/17,2.46386,2.47154,2.4613,2.46642,2.4662,59365
12/26/17,2.46386,2.47154,2.4613,2.46642,2.4662,59365
12/27/17,2.46793,2.46793,2.45769,2.46025,2.462,106720
12/28/17,2.46171,2.46427,2.45915,2.46171,2.4616,34520
12/29/17,2.46534,2.47302,2.46278,2.47046,2.4686,121086
1/1/18,2.46534,2.47302,2.46278,2.47046,2.4686,121086
1/2/18,2.47678,2.47678,2.45119,2.45119,2.4616,159729
1/3/18,2.45612,2.47147,2.45612,2.45868,2.4609,155000
1/4/18,2.46873,2.48152,2.46361,2.48152,2.4778,93632
1/5/18,2.50687,2.50687,2.48641,2.49408,2.4935,133846
1/8/18,2.50598,2.51365,2.50342,2.50853,2.5123,126867
1/9/18,2.51138,2.51394,2.50627,2.51138,2.5117,60807
1/10/18,2.51352,2.53398,2.51096,2.51096,2.5157,84108
1/11/18,2.5311,2.5311,2.51064,2.51831,2.5163,49931
1/12/18,2.55666,2.55666,2.52598,2.53621,2.5324,56774
1/15/18,2.53592,2.55637,2.53592,2.55381,2.553,59030
